;city;PC6;Homes_Passed;ACTIVE_CUSTOMERS_Resi;ACTIVE_CUSTOMERS_Soho;;;;;
;DELFT;2612KM;25;14;0;;;;;
;DELFT;2612KS;21;14;0;;;;;
;DELFT;2612KW;17;3;0;;;;;
;DELFT;2612ND;45;6;2;;;;;
;DELFT;2612PA;1;0;0;;;;;
;DELFT;2612PB;36;0;0;;;;;
;DELFT;2612PC;22;12;0;;;;;
;DELFT;2612PE;19;8;0;;;;;
;DELFT;2612PG;24;7;1;;;;;
;DELFT;2612PH;16;3;0;;;;;
;DELFT;2612PJ;23;13;2;;;;;
;DELFT;2612PK;25;6;2;;;;;
;DELFT;2612PL;16;3;0;;;;;
;DELFT;2612PP;12;5;0;;;;;
;DELFT;2612PT;18;8;0;;;;;
;DELFT;2612PV;2;0;1;;;;;
;DELFT;2612PX;8;5;0;;;;;
;DELFT;2612PZ;8;8;0;;;;;
;DELFT;2612RC;13;9;1;;;;;
;DELFT;2612RD;13;9;0;;;;;
;DELFT;2612RE;19;9;1;;;;;
;DELFT;2612RG;18;9;0;;;;;
;DELFT;2612RH;17;16;0;;;;;
;DELFT;2612RJ;19;12;0;;;;;
;DELFT;2612RK;19;14;0;;;;;
;DELFT;2612RL;19;9;1;;;;;
;DELFT;2612RM;13;8;3;;;;;
;DELFT;2612RS;23;11;1;;;;;
;DELFT;2612RX;24;7;2;;;;;
;DELFT;2612SN;16;8;1;;;;;
;DELFT;2612SR;18;1;0;;;;;
;DELFT;2612SW;17;9;0;;;;;
;DELFT;2612TD;8;5;0;;;;;
;DELFT;2612TG;8;1;0;;;;;
;DELFT;2612TJ;12;5;0;;;;;
;DELFT;2612TK;12;5;0;;;;;
;DELFT;2612TL;14;7;0;;;;;
;DELFT;2612TM;10;9;0;;;;;
;DELFT;2612TS;22;7;0;;;;;
;DELFT;2612VA;8;7;1;;;;;
;DELFT;2612VB;14;8;0;;;;;
;DELFT;2612VC;2;3;0;;;;;
;DELFT;2612VE;14;8;1;;;;;
;DELFT;2612VG;1;0;0;;;;;
;DELFT;2612VH;5;3;0;;;;;
;DELFT;2612VJ;10;7;2;;;;;
